iter	Accuracy	MultiClass
0	0.5735491285	1.078330339
1	0.591266041	1.060913583
2	0.6050565026	1.042307722
3	0.6148247462	1.025350784
4	0.6221988125	1.009786654
5	0.6211453744	0.995451864
6	0.6248802911	0.9830433724
7	0.6290940433	0.9707886403
8	0.6334035625	0.9599202824
9	0.6350316031	0.948854113
10	0.6359892741	0.9377829886
11	0.6380003831	0.9278953669
12	0.6376173147	0.9192611561
13	0.6395326566	0.9107388762
14	0.642980272	0.9024889629
15	0.6454702164	0.8944089229
16	0.6454702164	0.8880751598
17	0.6477686267	0.8814120449
18	0.6487262976	0.8757817728
19	0.6526527485	0.8699644652
20	0.6543765562	0.8632452709
21	0.6560045968	0.857689027
22	0.6563876652	0.8524896903
23	0.655142693	0.8471621196
24	0.657249569	0.8426382377
25	0.6566749665	0.8377959036
26	0.6606971844	0.8335696685
27	0.6614633212	0.8290823501
28	0.6616548554	0.8241897606
29	0.6619421567	0.8207142038
30	0.6624209921	0.8175020926
31	0.6633786631	0.8134320299
32	0.6667305114	0.8095961052
33	0.667305114	0.8055117431
34	0.6684543191	0.8024548726
35	0.66941199	0.7982444044
36	0.6708484965	0.794645656
37	0.6720934687	0.7913299926
38	0.6719977016	0.7882026074
39	0.6752537828	0.7850323462
40	0.674487646	0.7818506667
41	0.6763072208	0.7794539994
42	0.6770733576	0.7765621322
43	0.677456426	0.7737391941
44	0.6787971653	0.7716501388
45	0.680520973	0.7687180255
46	0.6822447807	0.76635081
47	0.6842558897	0.7637677913
48	0.6844474239	0.7612364234
49	0.6854050948	0.7582584513
50	0.6863627658	0.7560049103
51	0.6874162038	0.7537707139
52	0.6877035051	0.7514475609
53	0.6873204367	0.749417295
54	0.6900976824	0.7472689285
55	0.6909595863	0.7454348039
56	0.6925876269	0.7429457672
57	0.693736832	0.7401953358
58	0.6943114346	0.7385100124
59	0.6941199004	0.7369742221
60	0.6943114346	0.7356939195
61	0.6950775713	0.7332008374
62	0.6954606397	0.7314788696
63	0.6960352423	0.7298164558
64	0.6969929132	0.7279087516
65	0.6980463513	0.7264214637
66	0.6989082551	0.7247886113
67	0.6996743919	0.723221911
68	0.7010151312	0.7216764165
69	0.7015897338	0.7203879032
70	0.7024516376	0.7184055353
71	0.7030262402	0.7162679934
72	0.7045585137	0.7146927718
73	0.7057077188	0.7131186255
74	0.7057077188	0.7108195765
75	0.7061865543	0.7097527061
76	0.7072399923	0.7081430403
77	0.7084849646	0.7070914579
78	0.7088680329	0.7059018423
79	0.7095384026	0.7046302064
80	0.7102087723	0.7033975502
81	0.7114537445	0.7017069841
82	0.7108791419	0.7007865642
83	0.7126987167	0.6992769017
84	0.7131775522	0.6977713347
85	0.7142309902	0.6962820074
86	0.7148055928	0.6951688122
87	0.7149013599	0.6935715381
88	0.7155717296	0.692573815
89	0.7159547979	0.6913078113
90	0.7159547979	0.6902820204
91	0.717008236	0.688984097
92	0.7178701398	0.6873287022
93	0.719019345	0.6859747511
94	0.7197854817	0.6848068129
95	0.7203600843	0.6831831321
96	0.7207431527	0.6819611912
97	0.7224669604	0.6810058599
98	0.7227542616	0.6793307248
99	0.7238076997	0.6779770468
100	0.7247653706	0.676749188
101	0.7250526719	0.6756597569
102	0.7252442061	0.6743776324
103	0.7252442061	0.6731978336
104	0.7259145758	0.6723510428
105	0.7260103428	0.671061443
106	0.7267764796	0.6699513582
107	0.7273510822	0.6690850201
108	0.7275426164	0.6681365466
109	0.7277341505	0.6672619197
110	0.7283087531	0.6666802006
111	0.7286918215	0.6654656968
112	0.7293621912	0.6641221773
113	0.7303198621	0.662915954
114	0.7309902318	0.6613722552
115	0.7318521356	0.6600396374
116	0.7328098066	0.659087365
117	0.7335759433	0.6577610809
118	0.734246313	0.6567207209
119	0.7344378472	0.6558259951
120	0.735299751	0.6546364411
121	0.7365447232	0.6533995344
122	0.7368320245	0.6522195762
123	0.73731086	0.6513114095
124	0.7381727638	0.6505410564
125	0.7390346677	0.6491269275
126	0.7390346677	0.6482713987
127	0.7392262019	0.6474528264
128	0.7395135032	0.6465851092
129	0.739321969	0.6455624604
130	0.7402796399	0.6446183493
131	0.7400881057	0.6439096157
132	0.7405669412	0.6430300206
133	0.7417161463	0.641821421
134	0.7410457767	0.6404812197
135	0.7424822831	0.6391901732
136	0.7428653515	0.637990062
137	0.7426738173	0.6365776262
138	0.7424822831	0.6357889946
139	0.7426738173	0.6347687371
140	0.7428653515	0.6337649971
141	0.7433441869	0.6325004667
142	0.743439954	0.631844708
143	0.7440145566	0.630768508
144	0.745451063	0.6293836461
145	0.7456425972	0.628445912
146	0.7463129669	0.6271726526
147	0.746408734	0.6267725566
148	0.7467918023	0.6259439479
149	0.7471748707	0.6252841149
150	0.7473664049	0.6244863959
151	0.7477494733	0.6235187429
152	0.7484198429	0.6224491512
153	0.749473281	0.6213465568
154	0.7498563494	0.6202011158
155	0.750526719	0.6188568588
156	0.7510055545	0.6178795077
157	0.7518674583	0.6172475386
158	0.7518674583	0.6165039839
159	0.7520589925	0.6152082324
160	0.7523462938	0.6145077022
161	0.7531124306	0.6134948061
162	0.7530166635	0.612527198
163	0.753591266	0.6118379701
164	0.7541658686	0.6109606524
165	0.7544531699	0.610192814
166	0.7554108408	0.6092870419
167	0.7551235396	0.6085072606
168	0.7547404712	0.608085379
169	0.7554108408	0.6068046946
170	0.755602375	0.6060205934
171	0.7559854434	0.6055602052
172	0.7566558131	0.6046185574
173	0.7579007853	0.6037198123
174	0.7583796208	0.6028605674
175	0.7581880866	0.6021601235
176	0.7591457575	0.601248562
177	0.7595288259	0.6004527972
178	0.759624593	0.5999493546
179	0.760678031	0.598634481
180	0.7612526336	0.5979108162
181	0.7617314691	0.5971892666
182	0.7623060716	0.596285624
183	0.761635702	0.5950783184
184	0.7623060716	0.5938967419
185	0.7623060716	0.593181948
186	0.7632637426	0.5920868889
187	0.7637425781	0.5911346935
188	0.7643171806	0.5907298017
189	0.7650833174	0.5900640723
190	0.7661367554	0.5890663213
191	0.7663282896	0.5884450684
192	0.7666155909	0.5876325292
193	0.7673817276	0.5865753103
194	0.767764796	0.5856527551
195	0.7689140011	0.5843656398
196	0.7693928366	0.5836749009
197	0.7694886037	0.5825580096
198	0.7701589734	0.5816553526
199	0.7704462747	0.5810286557
200	0.7707335759	0.580267526
201	0.7715954798	0.5795799108
202	0.7726489178	0.5788496898
203	0.7730319862	0.5780934505
204	0.7740854242	0.5774909765
205	0.7733192875	0.576395145
206	0.7735108217	0.5758780433
207	0.7742769584	0.5750249619
208	0.774851561	0.5740134381
209	0.7746600268	0.5734730186
210	0.7750430952	0.5724540609
211	0.7753303965	0.5715302241
212	0.7762880674	0.5708712831
213	0.7766711358	0.5701968219
214	0.7774372726	0.5693127614
215	0.7776288067	0.5685955983
216	0.7782991764	0.5682305417
217	0.7784907106	0.5675005417
218	0.7789695461	0.5668408291
219	0.7789695461	0.5663520456
220	0.7792568473	0.5658906042
221	0.779927217	0.5651603151
222	0.7800229841	0.5647521313
223	0.7805018196	0.5642688958
224	0.7807891209	0.5637205923
225	0.7804060525	0.5630328928
226	0.7818425589	0.5617128583
227	0.7816510247	0.56099159
228	0.7815552576	0.5603570281
229	0.7826086957	0.5594795979
230	0.7834705995	0.5586325757
231	0.7837579008	0.5577966838
232	0.7843325034	0.5571886281
233	0.7851944072	0.5563214344
234	0.7851944072	0.5554740345
235	0.7865351465	0.5543268765
236	0.7873970504	0.5537473065
237	0.7875885846	0.5532088397
238	0.7877801188	0.5519823051
239	0.78806742	0.5509417241
240	0.7879716529	0.5503754943
241	0.7887377897	0.5496056809
242	0.7899827619	0.5488906508
243	0.7905573645	0.5483374197
244	0.7903658303	0.5478387498
245	0.7907488987	0.547081906
246	0.7913235012	0.5463847235
247	0.7917065696	0.5457303102
248	0.7919938709	0.5450929558
249	0.7927600077	0.5444350718
250	0.7925684735	0.5436289659
251	0.7930473089	0.5430245849
252	0.7938134457	0.5423718003
253	0.7946753495	0.5417979321
254	0.7948668837	0.541059903
255	0.7947711166	0.5403888804
256	0.7949626508	0.5395507587
257	0.7957287876	0.5389900448
258	0.7963991572	0.5385301566
259	0.7967822256	0.5378920285
260	0.797165294	0.5371290795
261	0.797165294	0.5366264142
262	0.7979314308	0.5360418715
263	0.7983144991	0.5351898967
264	0.799176403	0.534459658
265	0.7992721701	0.5337716601
266	0.7995594714	0.5332191913
267	0.7999425397	0.5323733206
268	0.8003256081	0.5318879333
269	0.8009002107	0.5310754067
270	0.8017621145	0.5302562651
271	0.8019536487	0.5298151266
272	0.8025282513	0.5290233932
273	0.8025282513	0.528528916
274	0.8026240184	0.5279568967
275	0.8031028539	0.5272159053
276	0.8034859222	0.526578789
277	0.8037732235	0.5262101538
278	0.8040605248	0.525465573
279	0.8044435932	0.5248697055
280	0.8051139628	0.5240364852
281	0.8054012641	0.5234887171
282	0.8061674009	0.5226337108
283	0.8070293047	0.5220926436
284	0.8074123731	0.5212762092
285	0.8077954415	0.5203893097
286	0.8079869757	0.5199396519
287	0.8077954415	0.5192899141
288	0.8086573453	0.5186667874
289	0.8084658111	0.5183439928
290	0.8092319479	0.5175423403
291	0.8094234821	0.5170755366
292	0.810381153	0.5164978127
293	0.8102853859	0.5156964182
294	0.8108599885	0.5149424428
295	0.8118176595	0.5141317583
296	0.8122964949	0.5134479509
297	0.812392262	0.5130301981
298	0.8125837962	0.5125978109
299	0.8136372342	0.5115887159
300	0.8135414672	0.510981373
301	0.8143076039	0.5103510753
302	0.8135414672	0.5097899119
303	0.8143076039	0.5091403667
304	0.814403371	0.5087830463
305	0.8148822065	0.5082256274
306	0.815456809	0.5078342474
307	0.8152652749	0.507481851
308	0.8157441103	0.5070730665
309	0.8160314116	0.506654506
310	0.8167017813	0.5060261291
311	0.8165102471	0.505701537
312	0.8169890826	0.505118107
313	0.8166060142	0.5047314145
314	0.8178509864	0.504049675
315	0.8181382877	0.5034717254
316	0.8189044244	0.5029687907
317	0.8190001915	0.5024696182
318	0.8191917257	0.5020234537
319	0.8196705612	0.5016188196
320	0.8200536296	0.5010254205
321	0.8200536296	0.500463936
322	0.8199578625	0.4999953491
323	0.820436698	0.4994188739
324	0.8210113005	0.4989366167
325	0.820532465	0.4984366756
326	0.821490136	0.4975041148
327	0.821490136	0.4968335269
328	0.822543574	0.4961892422
329	0.8224478069	0.4955333523
330	0.823501245	0.4946214408
331	0.8234054779	0.4942116435
332	0.8236927792	0.493624712
333	0.823501245	0.493155013
334	0.8240758475	0.4926148944
335	0.8241716146	0.492142277
336	0.8246504501	0.4916741121
337	0.8247462172	0.4909783817
338	0.8250335185	0.4901776614
339	0.8254165869	0.4898724612
340	0.825608121	0.4894470295
341	0.8260869565	0.4888177777
342	0.8264700249	0.4883840251
343	0.8267573262	0.487747344
344	0.8269488604	0.4874977286
345	0.8273319287	0.4869771165
346	0.8277149971	0.4865027039
347	0.8282895997	0.4861487339
348	0.828576901	0.4854657285
349	0.8282895997	0.4850338896
350	0.8282895997	0.4845266051
351	0.828576901	0.484032501
352	0.8286726681	0.4834583693
353	0.8286726681	0.4828010366
