iter	Passed	Remaining
0	94	237146
1	112	140747
2	131	109342
3	148	92560
4	167	83453
5	183	76180
6	199	71058
7	213	66456
8	228	63363
9	244	60895
10	264	59743
11	280	58089
12	294	56435
13	314	55859
14	330	54729
15	348	54171
16	369	53935
17	390	53799
18	402	52590
19	411	51056
20	421	49800
21	432	48716
22	444	47919
23	457	47215
24	469	46473
25	478	45536
26	490	44966
27	502	44344
28	517	44067
29	529	43564
30	542	43223
31	556	42902
32	568	42523
33	581	42183
34	596	42030
35	611	41870
36	628	41836
37	643	41723
38	659	41593
39	675	41520
40	691	41478
41	707	41430
42	725	41439
43	744	41558
44	764	41695
45	781	41683
46	800	41771
47	821	41953
48	839	42003
49	859	42106
50	876	42076
51	894	42121
52	912	42119
53	932	42219
54	950	42260
55	969	42317
56	988	42355
57	1006	42393
58	1024	42380
59	1042	42390
60	1060	42412
61	1079	42453
62	1098	42493
63	1117	42547
64	1138	42659
65	1161	42820
66	1181	42890
67	1200	42927
68	1220	42989
69	1239	43016
70	1262	43190
71	1283	43297
72	1306	43449
73	1328	43551
74	1350	43680
75	1367	43626
76	1385	43586
77	1404	43606
78	1423	43638
79	1443	43654
80	1461	43652
81	1481	43688
82	1501	43713
83	1519	43712
84	1540	43781
85	1558	43759
86	1578	43774
87	1598	43816
88	1616	43781
89	1633	43731
90	1650	43690
91	1668	43660
92	1686	43640
93	1702	43585
94	1719	43534
95	1736	43474
96	1756	43516
97	1774	43494
98	1790	43424
99	1807	43383
100	1823	43303
101	1839	43248
102	1856	43192
103	1870	43096
104	1886	43038
105	1904	43020
106	1919	42935
107	1935	42872
108	1949	42768
109	1963	42659
110	1978	42591
111	1994	42516
112	2008	42421
113	2020	42296
114	2035	42211
115	2049	42119
116	2061	41983
117	2075	41904
118	2089	41814
119	2103	41727
120	2117	41625
121	2130	41536
122	2144	41450
123	2159	41378
124	2172	41286
125	2188	41232
126	2202	41147
127	2217	41087
128	2231	41016
129	2247	40980
130	2261	40892
131	2275	40815
132	2291	40773
133	2306	40721
134	2320	40653
135	2335	40604
136	2349	40530
137	2365	40488
138	2380	40429
139	2398	40427
140	2413	40382
141	2429	40351
142	2445	40302
143	2463	40300
144	2479	40273
145	2497	40264
146	2511	40206
147	2525	40140
148	2540	40083
149	2555	40042
150	2570	39993
151	2587	39965
152	2606	39977
153	2620	39923
154	2635	39878
155	2652	39858
